類別,法規名稱,狀態,官方來源,檔案,附件數,基本資料
全國性法律,原住民幼兒就讀公私立幼稚園學費補助辦法生效令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000592,,0,法規名稱： 原住民幼兒就讀公私立幼稚園學費補助辦法生效令 公發布日： 民國 100 年 11 月 29 日 發文字號： 臺國(三)字第1000205162C號 令 法規體系： 國民及學前教育
全國性法律,各教育階段身心障礙學生與幼兒轉銜服務資料通報注意事項,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000093,全國性法律\各教育階段身心障礙學生與幼兒轉銜服務資料通報注意事項.html,1,法規名稱： 各教育階段身心障礙學生與幼兒轉銜服務資料通報注意事項 公發布日： 民國 91 年 05 月 10 日 修正日期： 民國 114 年 04 月 17 日 發文字號： 臺教學（四）字第1142801433A號 令 法規體系： 學生事務及特殊教育 圖表附件： 各教育階段身心障礙學生與幼兒轉銜服務資料表(1140417).pdf
全國性法律,各教育階段身心障礙學生與幼兒轉銜輔導及服務辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000431,全國性法律\各教育階段身心障礙學生與幼兒轉銜輔導及服務辦法.html,2,法規名稱： 各教育階段身心障礙學生與幼兒轉銜輔導及服務辦法 公發布日： 民國 99 年 07 月 15 日 修正日期： 民國 112 年 12 月 19 日 發文字號： 臺教學（四）字第1122806413A號 令 法規體系： 學生事務及特殊教育 立法理由： 0990715立法理由.pdf 1121219立法理由.pdf
全國性法律,各直轄市縣（市）政府及師資培育之大學申請辦理高級中等以下學校及幼兒園教師證書注意事項,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000374,全國性法律\各直轄市縣（市）政府及師資培育之大學申請辦理高級中等以下學校及幼兒園教師證書注意事項.html,4,法規名稱： 各直轄市縣（市）政府及師資培育之大學申請辦理高級中等以下學校及幼兒園教師證書注意事項 公發布日： 民國 99 年 04 月 19 日 修正日期： 民國 114 年 09 月 10 日 發文字號： 臺教師（四）字第1142602254A號 令 法規體系： 師資培育及藝術教育 圖表附件： 1071016附件.pdf 1100318附件.pdf (113.04.12)各直轄市縣（市）政府及師資培育之大學申請辦理高級中等以下學校及幼兒園教師證書注意事項第三點附件七、附件七之二修正規定.pdf (1140917)第三點附件二至附件七、附件七之一、附件七之二、附件十至附件十二.pdf
全國性法律,各級學校及幼兒園通報兒童少年保護與家庭暴力及性侵害事件注意事項及處理流程,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000547,全國性法律\各級學校及幼兒園通報兒童少年保護與家庭暴力及性侵害事件注意事項及處理流程.html,4,法規名稱： 各級學校及幼兒園通報兒童少年保護與家庭暴力及性侵害事件注意事項及處理流程 公發布日： 民國 94 年 05 月 03 日 修正日期： 民國 102 年 04 月 12 日 發文字號： 臺教學(三)字第1020041588C號 令 法規體系： 學生事務及特殊教育 圖表附件： 附件一.doc 附件二-通報表.doc 附件三-通報表.doc 附件四-保護輔導工作流程圖.doc
全國性法律,因應H7N9流感國民中小學及幼兒園停課與課業學習及成績評量作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001125,全國性法律\因應H7N9流感國民中小學及幼兒園停課與課業學習及成績評量作業要點.html,1,法規名稱： 因應H7N9流感國民中小學及幼兒園停課與課業學習及成績評量作業要點 公發布日： 民國 102 年 05 月 30 日 發文字號： 臺教授國部字第1020042256B號 令 法規體系： 國民及學前教育 圖表附件： 行政院公報電子檔.pdf
全國性法律,國內專科以上學校教保相關系科認可辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000682,全國性法律\國內專科以上學校教保相關系科認可辦法.html,6,法規名稱： 國內專科以上學校教保相關系科認可辦法 公發布日： 民國 101 年 07 月 26 日 修正日期： 民國 109 年 03 月 06 日 發文字號： 臺教師(二)字第1090010773B號 令 法規體系： 師資培育及藝術教育 立法理由： 1010726立法理由.pdf 1030425立法理由.pdf 1070301立法理由.pdf 1071012立法理由.pdf 1090306立法理由.pdf 圖表附件： 第五條附件.pdf
全國性法律,國立自然科學博物館幼兒科學園團體參觀教學預約作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002361,全國性法律\國立自然科學博物館幼兒科學園團體參觀教學預約作業要點.html,0,法規名稱： 國立自然科學博物館幼兒科學園團體參觀教學預約作業要點 公發布日： 民國 114 年 08 月 28 日 發文字號： 館科字第1140007979A號 令 法規體系： 終身教育
全國性法律,學生輔導法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001380,全國性法律\學生輔導法.html,0,法規名稱： 學生輔導法 英 公發布日： 民國 103 年 11 月 12 日 修正日期： 民國 113 年 12 月 18 日 發文字號： 華總一義字第11300118951號 令 法規體系： 教育通用
全國性法律,專科以上學校教保相關系科申請培育教保員審認注意事項,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001099,全國性法律\專科以上學校教保相關系科申請培育教保員審認注意事項.html,0,法規名稱： 專科以上學校教保相關系科申請培育教保員審認注意事項 公發布日： 民國 102 年 04 月 10 日 修正日期： 民國 113 年 09 月 24 日 發文字號： 臺教師（二）字第1132603039A號 令 法規體系： 師資培育及藝術教育
