類別,法規名稱,狀態,官方來源,檔案,附件數,基本資料
全國性法律,持國外專科以上學歷申請修畢幼兒園教保專業課程證明書辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001743,全國性法律\持國外專科以上學歷申請修畢幼兒園教保專業課程證明書辦法.html,3,法規名稱： 持國外專科以上學歷申請修畢幼兒園教保專業課程證明書辦法 公發布日： 民國 107 年 03 月 29 日 修正日期： 民國 114 年 12 月 01 日 發文字號： 臺教師（二）字第1142603315A號 令 法規體系： 師資培育及藝術教育 立法理由： 1070329立法理由.pdf 1141201立法理由.pdf 圖表附件： 1141201附表.pdf
全國性法律,教保服務人員教保專業知能研習實施辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001314,全國性法律\教保服務人員教保專業知能研習實施辦法.html,4,法規名稱： 教保服務人員教保專業知能研習實施辦法 公發布日： 民國 103 年 05 月 29 日 修正日期： 民國 112 年 02 月 27 日 發文字號： 臺教授國部字第1120014931A號 令 法規體系： 國民及學前教育 立法理由： 1070329立法理由.pdf 1080327立法理由.pdf 1091217立法理由.pdf (112.2.27)幼兒園教保專業知能研習實施辦法修正總說明及對照表.pdf
全國性法律,教保服務人員條例,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001625,全國性法律\教保服務人員條例.html,1,法規名稱： 教保服務人員條例 英 公發布日： 民國 106 年 04 月 26 日 修正日期： 民國 111 年 06 月 29 日 發文字號： 華總一義字第11100053331號 令 法規體系： 國民及學前教育 全文檔案： (111.06.29)修正全文.pdf
全國性法律,教保服務人員條例施行細則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001740,全國性法律\教保服務人員條例施行細則.html,1,法規名稱： 教保服務人員條例施行細則 公發布日： 民國 107 年 03 月 28 日 修正日期： 民國 114 年 06 月 30 日 發文字號： 臺教授國部字第1145601471A號 令 法規體系： 國民及學前教育 立法理由： 1140630立法理由.pdf
全國性法律,教保服務人員條例生效令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001738,,0,法規名稱： 教保服務人員條例生效令 公發布日： 民國 107 年 03 月 22 日 發文字號： 院臺教字第1070168559號 令 法規體系： 國民及學前教育
全國性法律,教保服務人員條例第九條第一項及第二項之解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002232,,0,法規名稱： 教保服務人員條例第九條第一項及第二項之解釋令 公發布日： 民國 112 年 09 月 19 日 發文字號： 臺教授國部字第1120118588A號 令 法規體系： 國民及學前教育
全國性法律,教保服務人員條例解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002031,,0,法規名稱： 教保服務人員條例解釋令 公發布日： 民國 109 年 10 月 28 日 發文字號： 臺教師(二)字第1090133198B號 令 法規體系： 師資培育及藝術教育
全國性法律,教保服務人員輔導與管教幼兒注意事項,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002236,全國性法律\教保服務人員輔導與管教幼兒注意事項.html,1,法規名稱： 教保服務人員輔導與管教幼兒注意事項 公發布日： 民國 112 年 10 月 05 日 發文字號： 臺教授國部字第1120121660A號 令 法規體系： 國民及學前教育 圖表附件： 附表一、二.pdf
全國性法律,教保服務機構不適任人員認定通報資訊蒐集查詢處理利用及違法事件通報辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001934,全國性法律\教保服務機構不適任人員認定通報資訊蒐集查詢處理利用及違法事件通報辦法.html,2,法規名稱： 教保服務機構不適任人員認定通報資訊蒐集查詢處理利用及違法事件通報辦法 公發布日： 民國 108 年 09 月 03 日 修正日期： 民國 114 年 05 月 01 日 發文字號： 臺教授國部字第1145600991A號 令 法規體系： 國民及學前教育 立法理由： 其他事項說明.pdf 教保服務機構不適任人員認定通報資訊蒐集查詢處理利用及違法事件通報辦法第八條、第九條修正總說明及對照表.pdf
全國性法律,教保服務機構收費項目及用途,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002204,全國性法律\教保服務機構收費項目及用途.html,1,法規名稱： 教保服務機構收費項目及用途 公發布日： 民國 112 年 03 月 01 日 發文字號： 臺教授國部字第1120015775A號 公告 法規體系： 國民及學前教育 立法理由： (112.3.1)教保服務機構收費項目及用途總說明及逐點說明.pdf
全國性法律,教保相關人員違法事件調查學者專家人才庫設置要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002182,全國性法律\教保相關人員違法事件調查學者專家人才庫設置要點.html,0,法規名稱： 教保相關人員違法事件調查學者專家人才庫設置要點 公發布日： 民國 111 年 09 月 07 日 修正日期： 民國 115 年 02 月 13 日 發文字號： 臺教授國部字第1145603039A號 令 法規體系： 國民及學前教育
全國性法律,教保相關人員違法事件調查處理辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002202,全國性法律\教保相關人員違法事件調查處理辦法.html,2,法規名稱： 教保相關人員違法事件調查處理辦法 公發布日： 民國 112 年 02 月 27 日 修正日期： 民國 114 年 01 月 22 日 發文字號： 臺教授國部字第1145600020A號 令 法規體系： 國民及學前教育 立法理由： (112.2.27)教保相關人員違法事件調查處理辦法總說明及逐條說明.pdf (114.01.22)教保相關人員違法事件調查處理辦法總說明及修正條文對照表.pdf
全國性法律,教保相關人員違法對待幼兒事件罰鍰金額及終身或一定期間不得聘任任用進用或運用之裁量基準,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002293,全國性法律\教保相關人員違法對待幼兒事件罰鍰金額及終身或一定期間不得聘任任用進用或運用之裁量基準.html,1,法規名稱： 教保相關人員違法對待幼兒事件罰鍰金額及終身或一定期間不得聘任任用進用或運用之裁量基準 公發布日： 民國 113 年 08 月 06 日 發文字號： 臺教授國部字第1135601654A號 令 法規體系： 國民及學前教育 圖表附件： 教保相關人員違法對待幼兒事件罰鍰金額及終身或一定期間不得聘任任用進用或運用之裁量基準附表.pdf
全國性法律,教師法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL008447,全國性法律\教師法.html,0,法規名稱： 教師法 英 公發布日： 民國 84 年 08 月 09 日 修正日期： 民國 115 年 05 月 13 日 發文字號： 華總一義字第11500042691號 令 法規體系： 師資培育及藝術教育
全國性法律,教師法施行細則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL008450,全國性法律\教師法施行細則.html,6,法規名稱： 教師法施行細則 公發布日： 民國 85 年 08 月 31 日 修正日期： 民國 113 年 06 月 20 日 發文字號： 臺教技（二）字第1132301652A號 令 法規體系： 師資培育及藝術教育 立法理由： 0930120立法理由.pdf 0931020立法理由.odt 1010904立法理由.pdf 1030506立法理由.pdf 1090628立法理由.pdf 1130620立法理由.pdf
全國性法律,教育基本法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL008468,全國性法律\教育基本法.html,0,法規名稱： 教育基本法 英 公發布日： 民國 88 年 06 月 23 日 修正日期： 民國 102 年 12 月 11 日 發文字號： 華總一義字第10200225111號 令 法規體系： 教育通用
全國性法律,教育部及所屬機關商借高級中等以下學校及幼兒園教師作業原則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002049,全國性法律\教育部及所屬機關商借高級中等以下學校及幼兒園教師作業原則.html,1,法規名稱： 教育部及所屬機關商借高級中等以下學校及幼兒園教師作業原則 公發布日： 民國 102 年 11 月 07 日 修正日期： 民國 111 年 04 月 22 日 發文字號： 臺教授國字第1110052130號函 法規體系： 國民及學前教育 立法理由： (中華民國一百一十一年四月二十二日)立法理由.pdf
全國性法律,教育部國民及學前教育署補助公立幼兒園辦理延長照顧服務作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL039672,全國性法律\教育部國民及學前教育署補助公立幼兒園辦理延長照顧服務作業要點.html,2,法規名稱： 教育部國民及學前教育署補助公立幼兒園辦理延長照顧服務作業要點 公發布日： 民國 95 年 06 月 27 日 修正日期： 民國 115 年 08 月 14 日 發文字號： 臺教國署幼字第1155601724A號 令 法規體系： 國民及學前教育 圖表附件： 1140919附表.pdf 1150814第3點附表.pdf
全國性法律,教育部國民及學前教育署補助地方政府辦理教師及教保服務人員諮商輔導支持服務要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002019,全國性法律\教育部國民及學前教育署補助地方政府辦理教師及教保服務人員諮商輔導支持服務要點.html,1,法規名稱： 教育部國民及學前教育署補助地方政府辦理教師及教保服務人員諮商輔導支持服務要點 公發布日： 民國 109 年 09 月 07 日 修正日期： 民國 113 年 01 月 16 日 發文字號： 臺教國署人字第1120174874A號 令 法規體系： 國民及學前教育 圖表附件： 教育部國民及學前教育署補助地方政府辦理教師及教保服務人員諮商輔導支持服務要點附件.pdf
全國性法律,教育部國民及學前教育署補助外國僑民學校及附設幼兒園要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000648,全國性法律\教育部國民及學前教育署補助外國僑民學校及附設幼兒園要點.html,1,法規名稱： 教育部國民及學前教育署補助外國僑民學校及附設幼兒園要點 公發布日： 民國 101 年 05 月 10 日 修正日期： 民國 107 年 10 月 04 日 發文字號： 臺教國署國字第1070110572B號 令 法規體系： 國民及學前教育 圖表附件： 附件-教育部國民及學前教育署補助外國僑民學校及附設幼兒園申請流程表.odt
全國性法律,教育部國民及學前教育署補助大學辦理教保專業知能增能學分班作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001320,全國性法律\教育部國民及學前教育署補助大學辦理教保專業知能增能學分班作業要點.html,5,法規名稱： 教育部國民及學前教育署補助大學辦理教保專業知能增能學分班作業要點 公發布日： 民國 103 年 06 月 10 日 修正日期： 民國 105 年 06 月 08 日 發文字號： 臺教國署國字第1050055560B號 令 法規體系： 國民及學前教育 圖表附件： 附件一 大學辦理教保專業知能增能學分班作業原則.pdf 附件一之一 （申請學校及科系名稱）辦理○年度幼兒園教保專業知能增能學分班實施計畫.docx 附件一之二 （申請學校及科系名稱）辦理○年度幼兒園教保專業知能增能學分班課程計畫.docx 附件二.pdf 附件三.pdf
全國性法律,教育部國民及學前教育署補助學前教育階段各類特殊教育班導師職務加給差額及教學輔導費作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000612,全國性法律\教育部國民及學前教育署補助學前教育階段各類特殊教育班導師職務加給差額及教學輔導費作業要點.html,0,法規名稱： 教育部國民及學前教育署補助學前教育階段各類特殊教育班導師職務加給差額及教學輔導費作業要點 公發布日： 民國 101 年 02 月 03 日 修正日期： 民國 115 年 01 月 15 日 發文字號： 臺教國署幼字第1155600012A號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助推動提升私立幼兒園（含國幼班）教保服務人員專業素質作業要點,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000448,,0,法規名稱： 廢 教育部國民及學前教育署補助推動提升私立幼兒園（含國幼班）教保服務人員專業素質作業要點 公發布日： 民國 99 年 08 月 26 日 廢止日期： 民國 105 年 02 月 16 日 發文字號： 臺教國署國字第1050009546B號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助教保服務機構導師職務加給差額及教保費要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000621,全國性法律\教育部國民及學前教育署補助教保服務機構導師職務加給差額及教保費要點.html,1,法規名稱： 教育部國民及學前教育署補助教保服務機構導師職務加給差額及教保費要點 公發布日： 民國 101 年 03 月 15 日 修正日期： 民國 115 年 01 月 16 日 發文字號： 臺教國署幼字第1155600011A號 令 法規體系： 國民及學前教育 圖表附件： 1150116附表.pdf
全國性法律,教育部國民及學前教育署補助教保服務機構推動本土語言融入教保活動課程原則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL038873,全國性法律\教育部國民及學前教育署補助教保服務機構推動本土語言融入教保活動課程原則.html,1,法規名稱： 教育部國民及學前教育署補助教保服務機構推動本土語言融入教保活動課程原則 公發布日： 民國 95 年 04 月 04 日 修正日期： 民國 115 年 07 月 31 日 發文字號： 臺教國署幼字第1155601699A號 令 法規體系： 國民及學前教育 圖表附件： 1150731第三點附表.pdf
全國性法律,教育部國民及學前教育署補助直轄市及縣（市）政府提升高級中等以下學校及幼兒園特殊教育教學品質與專業支持作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002373,全國性法律\教育部國民及學前教育署補助直轄市及縣（市）政府提升高級中等以下學校及幼兒園特殊教育教學品質與專業支持作業要點.html,1,法規名稱： 教育部國民及學前教育署補助直轄市及縣（市）政府提升高級中等以下學校及幼兒園特殊教育教學品質與專業支持作業要點 公發布日： 民國 114 年 11 月 26 日 發文字號： 臺教國署原字第1145703607A號 令 法規體系： 國民及學前教育 圖表附件： 1141126附件.pdf
全國性法律,教育部國民及學前教育署補助直轄市縣（市）政府充實及改善幼兒園教學環境設施設備作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL033353,全國性法律\教育部國民及學前教育署補助直轄市縣（市）政府充實及改善幼兒園教學環境設施設備作業要點.html,3,法規名稱： 教育部國民及學前教育署補助直轄市縣（市）政府充實及改善幼兒園教學環境設施設備作業要點 公發布日： 民國 93 年 12 月 22 日 修正日期： 民國 113 年 04 月 18 日 發文字號： 臺教國署幼字第1135600231A號 令 法規體系： 國民及學前教育 圖表附件： 附件一 申請改善教學環境設備補助計畫書.odt 附件二 申請改善教學環境設備初審意見一覽表.odt 教育部國民及學前教育署補助直轄市縣（市）政府充實及改善幼兒園教學環境設施設備作業要點第三點附表修正規定.pdf
全國性法律,教育部國民及學前教育署補助直轄市縣（市）政府推動學前教保工作實施要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL045254,全國性法律\教育部國民及學前教育署補助直轄市縣（市）政府推動學前教保工作實施要點.html,5,法規名稱： 教育部國民及學前教育署補助直轄市縣（市）政府推動學前教保工作實施要點 公發布日： 民國 97 年 02 月 05 日 修正日期： 民國 115 年 01 月 09 日 發文字號： 臺教國署幼字第1145603065A號 令 法規體系： 國民及學前教育 圖表附件： 1110610第四點附表一.pdf 1130730第四點及附表.pdf 1131231第四點及附表.pdf 1140728第四點及附表.pdf 1150109第四點及第六點附表二.pdf
全國性法律,教育部國民及學前教育署補助辦理公私立幼兒園汰換及新購幼童專用車要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001972,全國性法律\教育部國民及學前教育署補助辦理公私立幼兒園汰換及新購幼童專用車要點.html,0,法規名稱： 教育部國民及學前教育署補助辦理公私立幼兒園汰換及新購幼童專用車要點 公發布日： 民國 109 年 02 月 17 日 修正日期： 民國 111 年 08 月 25 日 發文字號： 臺教國署學字第1110108983A號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助辦理友善教保服務計畫作業要點,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL044672,,0,法規名稱： 廢 教育部國民及學前教育署補助辦理友善教保服務計畫作業要點 公發布日： 民國 96 年 12 月 03 日 廢止日期： 民國 106 年 01 月 03 日 發文字號： 臺教國署國字第1050143120B號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助辦理教保服務機構輔導作業原則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL038235,全國性法律\教育部國民及學前教育署補助辦理教保服務機構輔導作業原則.html,5,法規名稱： 教育部國民及學前教育署補助辦理教保服務機構輔導作業原則 公發布日： 民國 95 年 01 月 25 日 修正日期： 民國 114 年 03 月 06 日 發文字號： 臺教國署幼字第1145600123A號 令 法規體系： 國民及學前教育 圖表附件： 1071221附表.pdf 1091019附表.pdf 1100528附表.pdf 1120710附表.pdf 1130723附表.pdf
全國性法律,教育部國民及學前教育署補助辦理校園社區化改造計畫之新建幼兒園園舍作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001667,全國性法律\教育部國民及學前教育署補助辦理校園社區化改造計畫之新建幼兒園園舍作業要點.html,1,法規名稱： 教育部國民及學前教育署補助辦理校園社區化改造計畫之新建幼兒園園舍作業要點 公發布日： 民國 106 年 08 月 17 日 修正日期： 民國 106 年 09 月 13 日 發文字號： 臺教國署國字第1060096226B號 令 法規體系： 國民及學前教育 圖表附件： 教育部國民及學前教育署補助辦理校園社區化改造計畫之新建幼兒園園舍作業要點附件.pdf
全國性法律,教育部國民及學前教育署補助辦理社區互助式及部落互助式教保服務中心作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002199,全國性法律\教育部國民及學前教育署補助辦理社區互助式及部落互助式教保服務中心作業要點.html,4,法規名稱： 教育部國民及學前教育署補助辦理社區互助式及部落互助式教保服務中心作業要點 公發布日： 民國 112 年 01 月 18 日 修正日期： 民國 115 年 03 月 30 日 發文字號： 臺教國署幼字第1155600529A號 令 法規體系： 國民及學前教育 圖表附件： 1120118附表及附件.pdf 1140506第四點附表二.pdf 1140814附表.pdf 1150330附件.pdf
全國性法律,教育部國民及學前教育署補助辦理興建公共化幼兒園園舍作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001976,全國性法律\教育部國民及學前教育署補助辦理興建公共化幼兒園園舍作業要點.html,0,法規名稱： 教育部國民及學前教育署補助辦理興建公共化幼兒園園舍作業要點 公發布日： 民國 109 年 03 月 03 日 修正日期： 民國 112 年 06 月 09 日 發文字號： 臺教國署幼字第1120073182A號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助辦理非營利幼兒園及職場互助教保服務中心作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001159,全國性法律\教育部國民及學前教育署補助辦理非營利幼兒園及職場互助教保服務中心作業要點.html,5,法規名稱： 教育部國民及學前教育署補助辦理非營利幼兒園及職場互助教保服務中心作業要點 公發布日： 民國 102 年 08 月 16 日 修正日期： 民國 115 年 01 月 29 日 發文字號： 臺教國署幼字第1145603305A號 令 法規體系： 國民及學前教育 圖表附件： 教育部國民及學前教育署補助辦理非營利幼兒園及職場互助教保服務中心作業要點第四點附表一、附表二修正規定.pdf 附表三 非營利幼兒園補助項目.pdf 附表四 職場中心補助項目.pdf 附表五 國教署補助比率、附表六 非營利幼兒園繳交費用差額補助經費中央與地方分攤比率一覽表.pdf 1150129附表修正規定.pdf
全國性法律,教育部國民及學前教育署補助非營利團體辦理幼兒教保活動處理原則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL008976,全國性法律\教育部國民及學前教育署補助非營利團體辦理幼兒教保活動處理原則.html,0,法規名稱： 教育部國民及學前教育署補助非營利團體辦理幼兒教保活動處理原則 公發布日： 民國 91 年 05 月 20 日 修正日期： 民國 102 年 11 月 28 日 發文字號： 臺教國署國字第1020115751B號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助高級中等以下學校及幼兒園身心障礙學生及幼兒鑑定評估人員經費作業原則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002274,全國性法律\教育部國民及學前教育署補助高級中等以下學校及幼兒園身心障礙學生及幼兒鑑定評估人員經費作業原則.html,0,法規名稱： 教育部國民及學前教育署補助高級中等以下學校及幼兒園身心障礙學生及幼兒鑑定評估人員經費作業原則 公發布日： 民國 113 年 07 月 05 日 發文字號： 臺教國署原字第1135701881A號 令 法規體系： 國民及學前教育
全國性法律,教育部國民及學前教育署補助高級中等以下學校及幼兒園進用特教學生助理人員作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002281,全國性法律\教育部國民及學前教育署補助高級中等以下學校及幼兒園進用特教學生助理人員作業要點.html,1,法規名稱： 教育部國民及學前教育署補助高級中等以下學校及幼兒園進用特教學生助理人員作業要點 公發布日： 民國 113 年 07 月 18 日 修正日期： 民國 114 年 10 月 17 日 發文字號： 臺教國署原字第1145703289A號 令 法規體系： 國民及學前教育 圖表附件： 1141017附表.pdf
全國性法律,教育部幼兒教保服務諮詢會設置辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000652,全國性法律\教育部幼兒教保服務諮詢會設置辦法.html,4,法規名稱： 教育部幼兒教保服務諮詢會設置辦法 公發布日： 民國 101 年 05 月 18 日 修正日期： 民國 111 年 07 月 20 日 發文字號： 臺教授國部字第1110088879A號 令 法規體系： 國民及學前教育 立法理由： 1010518立法理由.pdf 1020619立法理由.pdf 1080409立法理由.pdf (111.7.20)立法理由.pdf
全國性法律,教育部推動參與五歲幼兒免學費教育計畫幼稚園評鑑注意事項,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000350,,0,法規名稱： 廢 教育部推動參與五歲幼兒免學費教育計畫幼稚園評鑑注意事項 公發布日： 民國 99 年 04 月 16 日 廢止日期： 民國 101 年 10 月 12 日 發文字號： 臺國(三)字第1010180695B號 令 法規體系： 國民及學前教育 圖表附件： 附表一、幼稚園基礎評鑑指標.doc 附表二、 幼稚園基礎評鑑指標檢核表.doc 附表三、幼稚園基礎評鑑指標自評表.doc 附表四、幼稚園評鑑結果報告格式.doc
全國性法律,教育部推動及補助地方政府與私立教保服務機構合作提供準公共教保服務作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001795,全國性法律\教育部推動及補助地方政府與私立教保服務機構合作提供準公共教保服務作業要點.html,1,法規名稱： 教育部推動及補助地方政府與私立教保服務機構合作提供準公共教保服務作業要點 公發布日： 民國 107 年 08 月 22 日 修正日期： 民國 114 年 11 月 28 日 發文字號： 臺教授國部字第1145602812A號 令 法規體系： 國民及學前教育 圖表附件： 1141128附件.pdf
全國性法律,教育部獎勵高級中等以下學校及幼兒園人員取得原住民族語言能力證明書要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001684,全國性法律\教育部獎勵高級中等以下學校及幼兒園人員取得原住民族語言能力證明書要點.html,0,法規名稱： 教育部獎勵高級中等以下學校及幼兒園人員取得原住民族語言能力證明書要點 公發布日： 民國 106 年 10 月 27 日 發文字號： 臺教師(三)字第1060138295B號 令 法規體系： 師資培育及藝術教育
全國性法律,教育部與所屬機關（構）及各級學校與幼兒園因應H7N9流感疫情通報作業原則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001113,全國性法律\教育部與所屬機關（構）及各級學校與幼兒園因應H7N9流感疫情通報作業原則.html,0,法規名稱： 教育部與所屬機關（構）及各級學校與幼兒園因應H7N9流感疫情通報作業原則 公發布日： 民國 102 年 05 月 07 日 發文字號： 臺教學(五)字第1020058334C號 令 法規體系： 學生事務及特殊教育
全國性法律,教育部補助各級學校與幼兒園參加國慶及總統府假日開放參觀辦理府內南苑表演活動經費原則,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL032179,,0,法規名稱： 廢 教育部補助各級學校與幼兒園參加國慶及總統府假日開放參觀辦理府內南苑表演活動經費原則 公發布日： 民國 93 年 09 月 01 日 廢止日期： 民國 106 年 01 月 03 日 發文字號： 臺教學(六)字第1050158884B號 令 法規體系： 學生事務及特殊教育
全國性法律,教育部補助各該主管機關主管之高級中等以下學校及教保服務機構投保公共意外責任保險實施要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000214,全國性法律\教育部補助各該主管機關主管之高級中等以下學校及教保服務機構投保公共意外責任保險實施要點.html,0,法規名稱： 教育部補助各該主管機關主管之高級中等以下學校及教保服務機構投保公共意外責任保險實施要點 公發布日： 民國 99 年 02 月 24 日 修正日期： 民國 113 年 10 月 15 日 發文字號： 臺教授國部字第1135804602A號 令 法規體系： 國民及學前教育
全國性法律,教育部補助地方政府發放二歲以上未滿五歲幼兒育兒津貼及五歲至入國民小學前幼兒就學補助作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001909,全國性法律\教育部補助地方政府發放二歲以上未滿五歲幼兒育兒津貼及五歲至入國民小學前幼兒就學補助作業要點.html,2,法規名稱： 教育部補助地方政府發放二歲以上未滿五歲幼兒育兒津貼及五歲至入國民小學前幼兒就學補助作業要點 公發布日： 民國 108 年 07 月 01 日 修正日期： 民國 115 年 08 月 28 日 發文字號： 臺教授國部字第1155601554A號 令 法規體系： 國民及學前教育 圖表附件： 附表.pdf 1150828第6點附表二.pdf
全國性法律,教育部補助扶持五歲弱勢幼兒及早教育計畫作業要點,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL038076,,0,法規名稱： 廢 教育部補助扶持五歲弱勢幼兒及早教育計畫作業要點 公發布日： 民國 0 年 00 月 00 日 廢止日期： 民國 98 年 01 月 13 日 發文字號： 台國（二）字第0970255767D號 法規體系： 國民及學前教育
全國性法律,教育部補助直轄市、縣（市）政府推動學前及國民教育階段特殊教育工作實施要點,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL009184,,0,法規名稱： 廢 教育部補助直轄市、縣（市）政府推動學前及國民教育階段特殊教育工作實施要點 公發布日： 民國 90 年 07 月 31 日 廢止日期： 民國 102 年 05 月 17 日 發文字號： 臺教授國字第1020046191B號 令 法規體系： 學生事務及特殊教育
全國性法律,教育部補助高級中等以下學校及幼兒園教師在職進修作業要點,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL026213,全國性法律\教育部補助高級中等以下學校及幼兒園教師在職進修作業要點.html,1,法規名稱： 教育部補助高級中等以下學校及幼兒園教師在職進修作業要點 公發布日： 民國 92 年 06 月 09 日 修正日期： 民國 115 年 01 月 29 日 發文字號： 臺教師（三）字第1142603696A號 令 法規體系： 師資培育及藝術教育 圖表附件： 1150129附件.pdf
全國性法律,教育部辦理高級中等以下學校及幼兒園教師證書核發作業要點,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000377,,0,法規名稱： 廢/停 教育部辦理高級中等以下學校及幼兒園教師證書核發作業要點 公發布日： 民國 99 年 04 月 22 日 廢止/停止適用日期： 民國 107 年 10 月 22 日 發文字號： 臺教師(二)字第1070186275號 函 法規體系： 師資培育及藝術教育 圖表附件： 高級中等以下學校及幼兒園教師證書核發作業要點流程圖.odt
全國性法律,核釋「幼兒園及其分班基本設施設備標準」第六條、第九條第二項及第十二條第一項,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000658,,0,法規名稱： 核釋「幼兒園及其分班基本設施設備標準」第六條、第九條第二項及第十二條第一項 公發布日： 民國 101 年 05 月 28 日 發文字號： 臺國(三)字第1010091957C號 令 法規體系： 國民及學前教育
全國性法律,核釋「幼兒教育及照顧法」第15條第5項所稱「每年」,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000716,,0,法規名稱： 核釋「幼兒教育及照顧法」第15條第5項所稱「每年」 公發布日： 民國 101 年 10 月 12 日 發文字號： 臺國(三)字第1010169950C號 令 法規體系： 國民及學前教育
全國性法律,核釋「幼兒教育及照顧法」第19條第1項第2款,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000728,,0,法規名稱： 核釋「幼兒教育及照顧法」第19條第1項第2款 公發布日： 民國 101 年 11 月 21 日 發文字號： 臺國(三)字第1010206767C號 令 法規體系： 國民及學前教育
全國性法律,核釋「幼兒教育及照顧法」第8條第1項暨「幼兒園與其分班設立變更及管理辦法」第3條第1項第1款第2目之相關規定,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001329,,0,法規名稱： 核釋「幼兒教育及照顧法」第8條第1項暨「幼兒園與其分班設立變更及管理辦法」第3條第1項第1款第2目之相關規定 公發布日： 民國 103 年 07 月 18 日 發文字號： 臺教授國部字第1030068434B號 令 法規體系： 國民及學前教育 圖表附件： 行政院公報電子檔.pdf
